file,category,scenario,rows,normal_rows_after_labeling,attack_rows_after_labeling
Attack_Data\Network_Level_Attacks\AITM_T0830\Network_Level\Flow\AITM_Labeled.csv,attack,AITM_T0830,15303,15016,287
Attack_Data\Network_Level_Attacks\Data_from_Local_System_T0893\Network_Level\Flow\Data_from_Local_System_Labeled.csv,attack,Data_from_Local_System_T0893,17237,17223,14
Attack_Data\Network_Level_Attacks\File_and_Directory_Discovery_T1083\Network_Level\Flow\File_and_Directory_Discovery_Labeled.csv,attack,File_and_Directory_Discovery_T1083,17342,17329,13
Attack_Data\Network_Level_Attacks\Network_Enumeration_T0840\Network_Level\Flow\Network_Enumeration_Labeled.csv,attack,Network_Enumeration_T0840,29943,23734,6209
Attack_Data\Network_Level_Attacks\Remote_Services_T0886\Network_Level\Flow\Remote_Services_Labeled.csv,attack,Remote_Services_T0886,17433,17418,15
Attack_Data\Network_Level_Attacks\Remote_System_Discovery_T0846\Network_Level\Flow\Remote_System_Discovery_Labeled.csv,attack,Remote_System_Discovery_T0846,14991,10108,4883
Attack_Data\Process_Level_Attacks\Change_Operating_Mode_T0858\Network_Level\Flow\Change_Operating_Mode_Labeled.csv,attack,Change_Operating_Mode_T0858,26285,26033,252
Attack_Data\Process_Level_Attacks\Detect_Operating_Mode_T0868\Network_Level\Flow\Detect_Operating_Mode_Labeled.csv,attack,Detect_Operating_Mode_T0868,22356,13942,8414
Attack_Data\Process_Level_Attacks\Modify_Alarm_Settings_T0838\Network_Level\Flow\Modify_Alarm_Settings_Labeled.csv,attack,Modify_Alarm_Settings_T0838,19063,19042,21
Attack_Data\Process_Level_Attacks\Modify_Controller_Tasking_T0821\Network_Level\Flow\Modify_Controller_Tasking_Labeled.csv,attack,Modify_Controller_Tasking_T0821,19100,19079,21
Attack_Data\Process_Level_Attacks\Modify_Parameters_T0836\Network_Level\Flow\Modify_Parameters_Labeled.csv,attack,Modify_Parameters_T0836,19405,19384,21
Normal_Data\Normal_Set1\Network_Level\Flow\network_data.csv,normal,Normal,34780,34780,0
Normal_Data\Normal_Set2\Network_Level\Flow\network_data.csv,normal,Normal,98724,98724,0
