model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_subsample,param_reg_lambda,param_min_child_weight,param_learning_rate,param_gamma,param_colsample_bytree,param_validation_fraction,param_learning_rate_init,param_hidden_layer_sizes,param_early_stopping,param_batch_size,param_alpha,param_activation
random_forest,binary,time_ablated,1,f1_score,0.4921206104975803,41,164.80870175361633,0.9273182512341512,0.410134436401241,0.6150744416873449,0.4921206104975803,0.8651212773898156,500.0,5.0,1.0,,30.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,2,f1_score,0.4842156386595435,41,231.92958569526672,0.9245658273253544,0.3978451715881883,0.6184863523573201,0.4842156386595435,0.8592613460825687,700.0,5.0,2.0,,40.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,3,f1_score,0.5206793724880072,41,48.82507991790772,0.934350250381788,0.4473156605034529,0.6228287841191067,0.5206793724880072,0.8846412548194065,500.0,2.0,4.0,log2,30.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,4,f1_score,0.5081549439347605,41,76.40329098701477,0.9314557658841496,0.4312283737024221,0.6184863523573201,0.5081549439347605,0.8792295505034524,700.0,2.0,2.0,sqrt,30.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,5,f1_score,0.5043077296444606,41,70.64310097694397,0.9274603118229924,0.4141917480566075,0.6445409429280397,0.5043077296444606,0.895091333271326,700.0,10.0,4.0,sqrt,20.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,6,f1_score,0.4993906897392152,41,97.28414392471312,0.9270518876300742,0.4112806101967081,0.635545905707196,0.4993906897392152,0.8861531719394053,300.0,10.0,2.0,,20.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,7,f1_score,0.4831790471889817,41,28.371241569519043,0.9187058280356571,0.3798367057153,0.6637717121588089,0.4831790471889817,0.9008743988741438,300.0,10.0,1.0,sqrt,10.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,8,f1_score,0.4835510401548137,41,99.98796677589417,0.9241751607060412,0.3963124504361617,0.6200372208436724,0.4835510401548137,0.8611013380527566,300.0,10.0,1.0,,40.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,9,f1_score,0.5006254691018264,41,56.08386850357056,0.9291117661682708,0.4194968553459119,0.6206575682382134,0.5006254691018264,0.876253688315221,500.0,5.0,2.0,sqrt,40.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,10,f1_score,0.5021971123666039,41,31.531228065490723,0.9295912206556096,0.4218519299725796,0.6203473945409429,0.5021971123666039,0.8775822296236505,300.0,10.0,2.0,log2,,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,11,f1_score,0.5040029560290676,41,98.24327087402344,0.9284902510920908,0.4179775280898876,0.6346153846153846,0.5040029560290676,0.8853372410116815,300.0,5.0,2.0,,20.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,12,f1_score,0.4843692981389125,41,24.825851678848267,0.9247256454878006,0.3984390634380628,0.6175558312655087,0.4843692981389125,0.8508977217861705,200.0,2.0,1.0,log2,40.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,13,f1_score,0.516028955532575,41,28.994961738586422,0.933515644422346,0.4423758865248227,0.6191066997518611,0.516028955532575,0.8814393642847227,300.0,5.0,4.0,log2,40.0,True,,,,,,,,,,,,,,,,,,,,
random_forest,binary,time_ablated,14,f1_score,0.4854346836595357,41,45.656853914260864,0.9197002521575453,0.3833572969086988,0.6616004962779156,0.4854346836595357,0.9006466178038417,500.0,10.0,2.0,sqrt,10.0,True,,,,,,,,,,,,,,,,,,,,
