model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_validation_fraction,param_learning_rate_init,param_hidden_layer_sizes,param_early_stopping,param_batch_size,param_alpha,param_activation
mlp,binary,time_ablated,1,f1_score,0.40158902130733115,41,38.57607674598694,0.8823028021451149,0.28323993886907795,0.6898263027295285,0.40158902130733115,0.8979682717254795,0.1,0.003,"(128, 64)",True,512,0.005,tanh
mlp,binary,time_ablated,2,f1_score,0.4422192704608154,41,75.45062208175659,0.9030614056895265,0.32972725887551424,0.6712158808933002,0.4422192704608154,0.8979971069540136,0.1,0.0001,"(256, 128, 64, 32)",True,128,0.005,tanh
mlp,binary,time_ablated,3,f1_score,0.466421143847487,41,103.7280821800232,0.9125261924210676,0.3583555259653795,0.667803970223325,0.466421143847487,0.8995763578819057,0.1,0.0001,"(256, 128, 64, 32)",True,256,0.0005,tanh
mlp,binary,time_ablated,4,f1_score,0.42706007958846937,41,26.361931800842285,0.8951770430088433,0.3107783585252154,0.6823821339950372,0.42706007958846937,0.8957042345107119,0.1,0.0001,"(128, 64)",True,512,0.0005,relu
mlp,binary,time_ablated,5,f1_score,0.4530607944368349,41,19.735830307006836,0.9078204354157048,0.3430668581458433,0.6668734491315137,0.4530607944368349,0.8953656666870762,0.1,0.0001,"(64, 32)",True,128,0.001,relu
mlp,binary,time_ablated,6,f1_score,0.4822404371584699,41,20.733280897140503,0.9192385552438115,0.38093525179856114,0.6569478908188585,0.4822404371584699,0.899429018072686,0.1,0.0005,"(64, 32)",True,128,0.001,relu
mlp,binary,time_ablated,7,f1_score,0.5096609551585854,41,107.03119730949402,0.9283481905032497,0.41898101898101897,0.6504342431761787,0.5096609551585854,0.9019364297576054,0.1,0.0001,"(256, 128, 64)",True,128,0.0001,relu
mlp,binary,time_ablated,8,f1_score,0.47038058466629895,41,50.484737157821655,0.9147458891217104,0.3650059921246362,0.6612903225806451,0.47038058466629895,0.9000433916001059,0.1,0.003,"(256, 128, 64, 32)",True,256,0.0001,relu
mlp,binary,time_ablated,9,f1_score,0.44570252187339165,41,17.64196801185608,0.9043754661363071,0.333538745955939,0.6715260545905707,0.44570252187339165,0.8998700618174017,0.1,0.001,"(64, 32)",True,128,0.001,relu
mlp,binary,time_ablated,10,f1_score,0.46367311264066424,41,71.34978652000427,0.912828071172355,0.35790183842131895,0.6581885856079405,0.46367311264066424,0.8979102886993247,0.1,0.001,"(256, 128, 64)",True,256,0.005,tanh
mlp,binary,time_ablated,11,f1_score,0.4276680610954373,41,24.484610080718994,0.8955321944809461,0.3115520907158044,0.6817617866004962,0.4276680610954373,0.9001744515259681,0.1,0.0005,"(128, 64, 32)",True,512,0.005,relu
mlp,binary,time_ablated,12,f1_score,0.45055746587475254,41,79.40709781646729,0.9063643143800831,0.3392436842931116,0.6705955334987593,0.45055746587475254,0.8999866325594396,0.1,0.001,"(256, 128, 64)",True,512,0.0001,tanh
mlp,binary,time_ablated,13,f1_score,0.4484472049689441,41,20.391223192214966,0.9053876478318003,0.336544437538844,0.6718362282878412,0.4484472049689441,0.8991800056741514,0.1,0.0005,"(64, 32)",True,128,0.005,tanh
mlp,binary,time_ablated,14,f1_score,0.3582271721717904,41,54.98420262336731,0.8506055332599354,0.23753161355589278,0.728287841191067,0.3582271721717904,0.8984568318137608,0.1,0.003,"(128, 64, 32)",True,128,0.0005,tanh
mlp,binary,time_ablated,15,f1_score,0.5042219541616405,41,31.27982258796692,0.927016372482864,0.41255428345834977,0.6482630272952854,0.5042219541616405,0.8997810643427263,0.1,0.001,"(128, 64)",True,512,0.0001,relu
mlp,binary,time_ablated,16,f1_score,0.4552207130730051,41,73.37808966636658,0.9088326171111979,0.34596774193548385,0.6653225806451613,0.4552207130730051,0.8999990915048045,0.1,0.001,"(256, 128, 64, 32)",True,256,0.0001,relu
mlp,binary,time_ablated,17,f1_score,0.5097990263387842,41,42.30075764656067,0.930266008452605,0.42657196574054734,0.6333746898263027,0.5097990263387842,0.8947884509052701,0.1,0.003,"(128, 64)",True,128,0.001,tanh
mlp,binary,time_ablated,18,f1_score,0.49496027510968815,41,92.44238257408142,0.9243704940156977,0.4006527164522941,0.6473325062034739,0.49496027510968815,0.9001469308403213,0.1,0.001,"(256, 128, 64, 32)",True,256,0.0005,tanh
mlp,binary,time_ablated,19,f1_score,0.41364684186260947,41,55.343244791030884,0.8870795894448983,0.29431833092769977,0.6957196029776674,0.41364684186260947,0.9020796360597458,0.1,0.0005,"(128, 64, 32)",True,128,0.0005,tanh
mlp,binary,time_ablated,20,f1_score,0.43638201111672564,41,20.160354614257812,0.9009660120041197,0.32363963423774544,0.6696650124069479,0.43638201111672564,0.8947278650841985,0.1,0.003,"(128, 64)",True,256,0.0005,tanh
mlp,binary,time_ablated,21,f1_score,0.4173572958376013,41,24.09114408493042,0.8888908619526228,0.29820359281437125,0.6950992555831266,0.4173572958376013,0.8990390194888871,0.1,0.0005,"(64, 32)",True,512,0.0005,tanh
mlp,binary,time_ablated,22,f1_score,0.4634302822925577,41,35.46238374710083,0.9108924956493945,0.35362271540469975,0.6721464019851117,0.4634302822925577,0.9002919336844077,0.1,0.001,"(128, 64, 32)",True,256,0.001,tanh
