model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_validation_fraction,param_learning_rate_init,param_hidden_layer_sizes,param_early_stopping,param_batch_size,param_alpha,param_activation
mlp,multiclass,time_ablated,1,macro_f1,0.3459538540911273,41,25.862335681915283,0.5180772099300351,0.3370218757826109,0.6599939469296044,0.3459538540911273,0.6540973395845372,0.9694980060148928,0.9682470085504385,0.8909432761590643,0.1,0.003,"(128, 64)",True,512,0.005,tanh
mlp,multiclass,time_ablated,2,macro_f1,0.34593492526493513,41,66.60904097557068,0.46787654934829703,0.3562712324242483,0.6084980927224045,0.34593492526493513,0.6066593876379655,0.9665987034538172,0.9710987308392472,0.8932294301818264,0.1,0.0001,"(256, 128, 64, 32)",True,128,0.005,tanh
mlp,multiclass,time_ablated,3,macro_f1,0.3798299549091202,41,104.01510047912598,0.4755655787193238,0.38315734422163467,0.6031836640341208,0.3798299549091202,0.6143627090992707,0.9673216963663711,0.9709855351372975,0.8968638000973909,0.1,0.0001,"(256, 128, 64, 32)",True,256,0.0005,tanh
mlp,multiclass,time_ablated,4,macro_f1,0.30559887236987227,41,34.047003746032715,0.49160066768476757,0.292152985990291,0.6055155550822647,0.30559887236987227,0.6275819548914301,0.9520514477742761,0.8343204941492749,0.8804945613132588,0.1,0.0001,"(128, 64)",True,512,0.0005,relu
mlp,multiclass,time_ablated,5,macro_f1,0.3568537710561454,41,16.593957662582397,0.5229605426714494,0.3370992708922731,0.608055066816943,0.3568537710561454,0.6588053434327109,0.9659136282415646,0.916536404956934,0.887685812550577,0.1,0.0001,"(64, 32)",True,128,0.001,relu
mlp,multiclass,time_ablated,6,macro_f1,0.33514816038874135,41,29.643352031707764,0.5936179280463117,0.32611989551778314,0.6061942190799658,0.33514816038874135,0.7191679176669231,0.9728848406503036,0.9376078399130847,0.8980903570426026,0.1,0.0005,"(64, 32)",True,128,0.001,relu
mlp,multiclass,time_ablated,7,macro_f1,0.3854092378801633,41,80.48260164260864,0.5516035088965444,0.3639244889190329,0.6046278297354463,0.3854092378801633,0.6840470477515841,0.9696672211253314,0.8670176413010537,0.8946379745573396,0.1,0.0001,"(256, 128, 64)",True,128,0.0001,relu
mlp,multiclass,time_ablated,8,macro_f1,0.18004641433053933,41,36.702308893203735,0.5286074510778848,0.19117788907898678,0.3081905356177221,0.18004641433053933,0.6575380959316778,0.9694161925038897,0.9459878134341916,0.8752676028886109,0.1,0.003,"(256, 128, 64, 32)",True,256,0.0001,relu
mlp,multiclass,time_ablated,9,macro_f1,0.3951878168743242,41,13.905122995376587,0.5511240544092055,0.3895623823363927,0.5857442558006373,0.3951878168743242,0.6836766884561777,0.9693826093349588,0.8464237981325557,0.8908706913812388,0.1,0.001,"(64, 32)",True,128,0.001,relu
mlp,multiclass,time_ablated,10,macro_f1,0.3272463964682679,41,52.46915888786316,0.5104592108534289,0.3252202164986761,0.5946557027003917,0.3272463964682679,0.6469859240103008,0.9695467672460777,0.9712994978595354,0.894284191781297,0.1,0.001,"(256, 128, 64)",True,256,0.005,tanh
mlp,multiclass,time_ablated,11,macro_f1,0.24463004895226445,41,20.545560359954834,0.4728841851049473,0.26278439705594386,0.6087077221282386,0.24463004895226445,0.6118855270496736,0.9454161721748744,0.8638013149530259,0.8776215069472351,0.1,0.0005,"(128, 64, 32)",True,512,0.005,relu
mlp,multiclass,time_ablated,12,macro_f1,0.307422406954161,41,38.19134545326233,0.5400788436268068,0.2937479032521341,0.6576106141072919,0.307422406954161,0.6731673481665572,0.9692935950876398,0.9677321913754587,0.8897771404488988,0.1,0.001,"(256, 128, 64)",True,512,0.0001,tanh
mlp,multiclass,time_ablated,13,macro_f1,0.44732080434242705,41,45.03560519218445,0.5569840536989026,0.43442822860916097,0.6988406576584208,0.44732080434242705,0.6883513707647215,0.971820229716878,0.9723701398715621,0.8975457011246938,0.1,0.0005,"(64, 32)",True,128,0.005,tanh
mlp,multiclass,time_ablated,14,macro_f1,0.25091117830102144,41,60.247673988342285,0.5369002379514863,0.2625973708511683,0.5203575414909857,0.25091117830102144,0.671017446845883,0.971408876811727,0.9656213722031391,0.884687633404336,0.1,0.003,"(128, 64, 32)",True,128,0.0005,tanh
mlp,multiclass,time_ablated,15,macro_f1,0.3520138950057486,41,21.694785833358765,0.5414284192207977,0.3299384366987695,0.6575447881080332,0.3520138950057486,0.6748459287119194,0.9638952409829902,0.8868384639032055,0.8918802735389012,0.1,0.001,"(128, 64)",True,512,0.0001,relu
mlp,multiclass,time_ablated,16,macro_f1,0.2666280304332383,41,43.3818633556366,0.43202400823951415,0.2775346915679592,0.5510819025559895,0.2666280304332383,0.572537928052914,0.9658435534730141,0.9595239266753626,0.8888836098218532,0.1,0.001,"(256, 128, 64, 32)",True,256,0.0001,relu
mlp,multiclass,time_ablated,17,macro_f1,0.32783926119025314,41,38.68762516975403,0.6490925879887772,0.311325492602101,0.5992503179001499,0.32783926119025314,0.7630051021862553,0.9812295508412403,0.9696845689669912,0.8957252298812663,0.1,0.003,"(128, 64)",True,128,0.001,tanh
mlp,multiclass,time_ablated,18,macro_f1,0.3214644159890459,41,43.35894179344177,0.4646979436729765,0.3171737119289872,0.6489760324887506,0.3214644159890459,0.6039312627431761,0.964197770506663,0.9642690703683382,0.8829490545862299,0.1,0.001,"(256, 128, 64, 32)",True,256,0.0005,tanh
mlp,multiclass,time_ablated,19,macro_f1,0.3841552040631416,41,44.98595476150513,0.5416059949568491,0.3677423534660051,0.6229194504226598,0.3841552040631416,0.6751650206980617,0.9711274081446198,0.971648682985923,0.8951899175206758,0.1,0.0005,"(128, 64, 32)",True,128,0.0005,tanh
mlp,multiclass,time_ablated,20,macro_f1,0.310152815776702,41,28.890625953674316,0.44498703697126823,0.3190920152202335,0.621933996733168,0.310152815776702,0.5839047147729723,0.9619914551815073,0.9685584387110945,0.8854995864096996,0.1,0.003,"(128, 64)",True,256,0.0005,tanh
mlp,multiclass,time_ablated,21,macro_f1,0.36175412845950033,41,24.219887733459473,0.534609510956423,0.36244259220913105,0.6364558342968002,0.36175412845950033,0.6688521212246985,0.969689207737614,0.9711564104079287,0.894687011753515,0.1,0.0005,"(64, 32)",True,512,0.0005,tanh
mlp,multiclass,time_ablated,22,macro_f1,0.31570917579641583,41,37.798110008239746,0.5147387860922683,0.30644177579613846,0.6112870278161157,0.31570917579641583,0.6509728475894564,0.9694374257464093,0.9709460885323903,0.8964489703928324,0.1,0.001,"(128, 64, 32)",True,256,0.001,tanh
mlp,multiclass,time_ablated,23,macro_f1,0.3318450553457279,41,26.07411527633667,0.5084526050360478,0.3277650232422687,0.6237682840851789,0.3318450553457279,0.6451890390429956,0.9682432469956872,0.9704534594472648,0.8944263071015645,0.1,0.0005,"(128, 64)",True,512,0.001,tanh
mlp,multiclass,time_ablated,24,macro_f1,0.26823298678435475,41,13.297365188598633,0.4654792769116028,0.2764991818037174,0.5948638175273353,0.26823298678435475,0.6045848515304203,0.955981756900975,0.8612871690024275,0.8835883681359197,0.1,0.003,"(128, 64)",True,512,0.001,relu
mlp,multiclass,time_ablated,25,macro_f1,0.32925662965160335,41,106.76631808280945,0.583691444401037,0.32302530967660686,0.610161645938609,0.32925662965160335,0.7109329986616636,0.9767598494608212,0.9720531972636192,0.8985800044387722,0.1,0.001,"(256, 128, 64)",True,128,0.001,tanh
mlp,multiclass,time_ablated,26,macro_f1,0.28074081256447053,41,66.0468692779541,0.46883545832297474,0.28483332717017124,0.5958254738079491,0.28074081256447053,0.6075629905727375,0.9605893350529501,0.9562898578338431,0.8933376986225177,0.1,0.0005,"(256, 128, 64, 32)",True,512,0.005,relu
