model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_subsample,param_reg_lambda,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree
xgboost,multiclass,time_ablated,1,macro_f1,0.5245674690112678,41,34.35510230064392,0.5534858116986895,0.5524268721882895,0.677391486122726,0.5245674690112678,0.6857758922276767,0.9725384889744826,0.9736965025867864,0.9023935294741385,0.7,1,200,3,6,0.01,0.0,0.8
xgboost,multiclass,time_ablated,2,macro_f1,0.5158898126035946,41,28.558352947235107,0.5870653833860141,0.5423237120342601,0.6417024367515728,0.5158898126035946,0.7143018871880585,0.9757600202717237,0.9718014202208392,0.903328118460572,1.0,5,200,3,8,0.1,0.0,0.7
xgboost,multiclass,time_ablated,3,macro_f1,0.5179253867243531,41,66.32136511802673,0.5948787157722769,0.5429580489579109,0.6367615451138119,0.5179253867243531,0.7207261112733898,0.9762013107419218,0.9711826127894051,0.9033299180819534,0.8,5,400,1,6,0.1,0.5,0.8
xgboost,multiclass,time_ablated,4,macro_f1,0.5066904077340046,41,71.89088892936707,0.5106012714422701,0.5431841077373504,0.6441324819719564,0.5066904077340046,0.6475532503663952,0.971123272286377,0.9358847569686094,0.9004584298085899,1.0,2,600,1,4,0.01,0.5,1.0
xgboost,multiclass,time_ablated,5,macro_f1,0.5139113321886096,41,30.030866146087646,0.5505380544802359,0.5432788713882954,0.6537786685671082,0.5139113321886096,0.6831575388180855,0.9732987637501956,0.9661806793023991,0.9038403741143101,1.0,5,300,1,3,0.2,0.5,1.0
xgboost,multiclass,time_ablated,6,macro_f1,0.5158566065173166,41,131.4023082256317,0.5995134424832191,0.5419035878918759,0.639685659688883,0.5158566065173166,0.7245057365431624,0.9763877589294809,0.9722762455968107,0.9028816994809035,0.7,5,800,5,8,0.03,0.5,1.0
xgboost,multiclass,time_ablated,7,macro_f1,0.5504866769621416,41,100.3036036491394,0.6322761657847071,0.5884780389887615,0.6306103733301581,0.5504866769621416,0.7507845343469376,0.9795871960577587,0.9695145157347967,0.8960924997071729,0.7,2,600,1,6,0.2,0.0,0.7
xgboost,multiclass,time_ablated,8,macro_f1,0.5139762092516115,41,36.51525282859802,0.5746705970096246,0.5410113245136048,0.6458341762877813,0.5139762092516115,0.7039157539904844,0.9749630830870937,0.9734955301562334,0.904822818984237,1.0,2,300,3,8,0.05,0.5,1.0
xgboost,multiclass,time_ablated,9,macro_f1,0.5149891483485928,41,73.89071321487427,0.5610682956280854,0.5447699487574557,0.6479503944571404,0.5149891483485928,0.6923284292991653,0.973752476458033,0.9637731850942064,0.904411275520111,1.0,2,600,3,4,0.03,0.1,0.8
xgboost,multiclass,time_ablated,10,macro_f1,0.5177438838896061,41,118.15546870231628,0.5897467770003907,0.5431077959977061,0.6363244060650788,0.5177438838896061,0.7165302240489272,0.9763467889356964,0.9674921718258137,0.9031057665505762,0.9,1,800,5,4,0.1,0.0,0.7
xgboost,multiclass,time_ablated,11,macro_f1,0.5147956335562148,41,96.01143598556519,0.5629683560038357,0.5446076281580872,0.6495882442457455,0.5147956335562148,0.6939858092462882,0.9737149215178641,0.9719097567460842,0.9038545582107936,0.7,2,600,1,6,0.01,0.0,1.0
xgboost,multiclass,time_ablated,12,macro_f1,0.5173069649758,41,58.65672516822815,0.5770501118727137,0.5463556498563974,0.638403942056522,0.5173069649758,0.7059600498816497,0.9750864879094454,0.9722205307658878,0.903465660626357,1.0,1,600,1,6,0.1,0.1,1.0
xgboost,multiclass,time_ablated,13,macro_f1,0.5134972112296566,41,49.23559308052063,0.5479276911602798,0.5445119277682834,0.6515938129752118,0.5134972112296566,0.6809209692476625,0.973052431187598,0.9573869347211993,0.9035754556650332,1.0,5,400,3,4,0.03,0.5,0.9
xgboost,multiclass,time_ablated,14,macro_f1,0.5151208892844792,41,41.81274652481079,0.5513904180132827,0.5450383482357563,0.653793670147032,0.5151208892844792,0.6839395077899975,0.9733867722622827,0.9626526534617633,0.904148537379328,1.0,5,400,3,4,0.1,0.5,0.7
xgboost,multiclass,time_ablated,15,macro_f1,0.5186558989024125,41,80.58850836753845,0.6226338033171147,0.5444566778825217,0.6106732426581439,0.5186558989024125,0.7431349568308483,0.9787691247163413,0.9662374702230418,0.896911770733624,1.0,2,600,1,8,0.1,0.0,0.8
xgboost,multiclass,time_ablated,16,macro_f1,0.521561430678895,41,99.17193818092346,0.558901871648258,0.5454607925426397,0.6768828335756231,0.521561430678895,0.690477522526548,0.9736296304172914,0.9463271369638716,0.903716198074354,1.0,5,800,3,6,0.01,0.1,0.8
xgboost,multiclass,time_ablated,17,macro_f1,0.5456627745969541,41,89.82822179794312,0.5879355044926661,0.5857287969066696,0.6625303290832852,0.5456627745969541,0.7150605421323067,0.9757739567881764,0.9685073932325688,0.9043022436475393,0.9,5,600,5,4,0.1,0.0,0.7
xgboost,multiclass,time_ablated,18,macro_f1,0.5094451036556752,41,45.703211069107056,0.5482473274851725,0.5407018318282538,0.6468579839587746,0.5094451036556752,0.6812556618019103,0.9723103013988066,0.9702249097446495,0.9013506686297995,0.8,5,300,3,4,0.03,0.5,0.8
xgboost,multiclass,time_ablated,19,macro_f1,0.5175241199566325,41,33.9038360118866,0.6058884114074653,0.5424412273209632,0.6247830544689653,0.5175241199566325,0.7297284890409526,0.9771080718402935,0.9685790229366004,0.9012421429288223,0.8,2,200,1,8,0.1,0.1,0.7
xgboost,multiclass,time_ablated,20,macro_f1,0.5160644120466295,41,33.484768867492676,0.5787725965124125,0.542603400254473,0.6402854390136858,0.5160644120466295,0.7073969947129352,0.975002060960297,0.9726894731888658,0.9042904335566898,0.7,1,200,3,5,0.1,0.0,1.0
xgboost,multiclass,time_ablated,21,macro_f1,0.5143618771269833,41,94.49347615242004,0.5686862947046916,0.541297235605246,0.6460911305548614,0.5143618771269833,0.698855346916153,0.9744961646147038,0.9712469173492567,0.9046539080902376,0.8,5,600,3,5,0.03,0.5,0.9
xgboost,multiclass,time_ablated,22,macro_f1,0.5169064990036175,41,107.42766261100769,0.6213197428703342,0.5416281292661775,0.6130143830298912,0.5169064990036175,0.7420854334130677,0.9783911808741773,0.9709631700829776,0.8986972710198677,0.8,5,600,1,8,0.05,0.0,1.0
xgboost,multiclass,time_ablated,23,macro_f1,0.517180637950778,41,45.656341791152954,0.5871186561068296,0.5428395057173248,0.6419884140345828,0.517180637950778,0.7143479459627912,0.9757854869532273,0.9682777144911413,0.9041482149695347,0.9,5,300,5,4,0.2,0.0,0.8
xgboost,multiclass,time_ablated,24,macro_f1,0.5378994314902696,41,121.52560305595398,0.548442660794829,0.5714692430591971,0.674606238700194,0.5378994314902696,0.6813604053758787,0.9735751563554307,0.9713726432164078,0.9039609686122944,0.7,5,800,1,3,0.03,0.0,0.8
xgboost,multiclass,time_ablated,25,macro_f1,0.5121505980520692,41,46.79561400413513,0.5497744788152147,0.5418287979022562,0.6515595381035797,0.5121505980520692,0.6825268166474865,0.9733005900494494,0.9698320765348291,0.9031099924011678,0.8,5,300,5,5,0.03,0.5,0.8
xgboost,multiclass,time_ablated,26,macro_f1,0.516384757542179,41,131.2028453350067,0.579944596370352,0.5427321049398448,0.6402683523261047,0.516384757542179,0.7083854889478652,0.9752759801345375,0.9713437538076768,0.9045599130398946,0.8,2,800,3,5,0.03,0.0,0.9
xgboost,multiclass,time_ablated,27,macro_f1,0.542124041564484,41,92.39198684692383,0.5591504776787299,0.5841459362214395,0.6709672207354815,0.542124041564484,0.6906569103616804,0.973966409620185,0.9703113173330857,0.9042905817927201,0.7,1,600,5,3,0.05,0.0,0.8
xgboost,multiclass,time_ablated,28,macro_f1,0.545759982928434,41,62.696783781051636,0.5893916255282878,0.5857176923113404,0.6624780148050372,0.545759982928434,0.716265325746208,0.9759628979429449,0.968600500473552,0.9039288917600106,0.9,5,400,5,5,0.1,0.0,0.8
xgboost,multiclass,time_ablated,29,macro_f1,0.5413526218973631,41,98.75572562217712,0.5934403523102604,0.5716404027503286,0.6551938468300346,0.5413526218973631,0.719585160809673,0.9764072176300994,0.9727424003537347,0.9031104249668419,0.7,2,600,1,8,0.03,0.5,0.7
xgboost,multiclass,time_ablated,30,macro_f1,0.517530636887496,41,49.5371630191803,0.5899065951628369,0.5429422873399476,0.6347533840336742,0.517530636887496,0.7166494192526986,0.9763769007643532,0.9694817851610044,0.9032664371469171,0.8,2,300,1,8,0.05,0.0,0.7
