label,class_name,precision,recall,f1_score,support
0,Normal,0.9741403431264266,0.9967753115440833,0.9853278517591683,66363
1,AITM_T0830,0.7647058823529411,0.22807017543859648,0.35135135135135137,57
2,Change_Operating_Mode_T0858,0.16666666666666666,0.78,0.2746478873239437,50
3,Data_from_Local_System_T0893,0.0,0.0,0.0,3
4,Detect_Operating_Mode_T0868,0.0,0.0,0.0,1683
5,File_and_Directory_Discovery_T1083,0.0,0.0,0.0,3
6,Modify_Alarm_Settings_T0838,0.0,0.0,0.0,4
7,Modify_Controller_Tasking_T0821,0.0,0.0,0.0,4
8,Modify_Parameters_T0836,0.0,0.0,0.0,4
9,Network_Enumeration_T0840,0.9919093851132686,0.9871175523349437,0.9895076674737692,1242
10,Remote_Services_T0886,0.4,0.6666666666666666,0.5,3
11,Remote_System_Discovery_T0846,0.9948979591836735,0.9979529170931423,0.9964230965763924,977
