feature,importance
duration,0.11424666875720124
sInterPacket,0.11243709557262777
sLoad,0.10928608818558169
sBytesAvg,0.06540490621973867
sBytesMax,0.06354614068442899
rInterPacket,0.04900855915002235
sPayloadAvg,0.04896560468938158
rLoad,0.04874362032503637
sttl,0.046243340149487534
sPayloadMax,0.03939752499104697
sBytesMin,0.03617220338708867
rPshRate,0.03575200722828205
rPayloadMax,0.03126866222664206
rWin,0.026903355961695827
sAckRate,0.02328786070868022
rPayloadAvg,0.022397207271977172
sWin,0.021266357701341946
rBytesMin,0.016982553812390055
rBytesMax,0.01694230190629704
sPshRate,0.01680518129683275
rBytesTotal,0.013484213686746346
rBytesAvg,0.011409645235727994
sBytesTotal,0.01044703462821599
rPackets,0.006236376526515167
rPayloadMin,0.0041667847760823926
sPackets,0.0035624087619072747
rttl,0.0022488284602484383
proto_IPV4-ModbusTCP,0.001448597307690714
rRstRate,0.0007525510447528921
proto_IPV6-OTHER,0.0002468468853814865
sFinRate,0.00020345239222038916
rFinRate,0.00017697506992741244
rSynRate,0.00017141464718342265
proto_IPV4-TCP,0.00016662836075264254
proto_IPV4-ICMP,8.752264785940124e-05
sSynRate,6.872883838907737e-05
sPayloadMin,3.171511133588237e-05
proto_ARP,1.909583227590371e-05
sRstRate,5.693888954484477e-06
rAckRate,5.489348743256118e-06
proto_IPV4-UDP,2.756323308554021e-06
