feature,importance
raw_start_time,0.15576466338473746
raw_end_time,0.12752315598819938
sBytesAvg,0.046770839236351204
sBytesMax,0.045245447264463674
sBytesMin,0.04179088438978642
endOffset,0.04134518094947864
sttl,0.03954208418174923
event_end_seconds,0.03889639645741141
event_time_seconds,0.03599842006916747
start_seconds_of_day,0.034230114904177496
sPayloadAvg,0.03395328219290349
startOffset,0.03290284538277986
end_seconds_of_day,0.03232478334882035
rPshRate,0.030759786697920954
sPayloadMax,0.02825663463893194
rPayloadAvg,0.026807826430690518
rPayloadMax,0.02313797880029417
sAckRate,0.017974915305959394
rBytesMax,0.015662154186491042
rWin,0.013622117069147765
rBytesTotal,0.013544528369978886
rBytesAvg,0.012505738585853412
sPshRate,0.0117430144257493
sInterPacket,0.011498612373766273
rBytesMin,0.011484365407193945
rInterPacket,0.010879153559450865
rLoad,0.010667367970199265
sBytesTotal,0.010547925214136803
sWin,0.009444240787847826
duration,0.00821365163680372
sLoad,0.007224878326224601
rPackets,0.007046335314851033
rPayloadMin,0.0043049115792395
sPackets,0.00430309599781919
rttl,0.0019087652458569836
proto_IPV4-TCP,0.000537377415441799
proto_IPV4-ModbusTCP,0.0003991460868020924
sSynRate,0.00026060236115504367
rSynRate,0.00026029106983628986
proto_IPV6-OTHER,0.00024163801356041719
sFinRate,0.00022092162637857017
rFinRate,0.00020350977083741906
proto_IPV4-ICMP,2.006737736949542e-05
sPayloadMin,1.7235112274585303e-05
rAckRate,9.361190061916816e-06
rRstRate,1.667904944224558e-06
proto_IPV4-UDP,1.103334551487129e-06
proto_ARP,6.795710046431756e-07
sRstRate,3.034913485221354e-07
