feature,importance
sInterPacket,0.0878189188849829
sLoad,0.08148910864369367
duration,0.07649404045789901
rLoad,0.06759255485322431
rInterPacket,0.06642081098964145
rBytesTotal,0.05071923349911368
rBytesAvg,0.04503532271438403
sBytesTotal,0.0387904405027553
rPayloadAvg,0.03740468061661736
sWin,0.036549775236057
rBytesMax,0.03536698585776058
sBytesAvg,0.030592197445170666
sPackets,0.03043414213058858
rPackets,0.028558580640672956
sSynRate,0.02673551446333637
rttl,0.0258600212959715
rPayloadMax,0.02546082176221834
rPayloadMin,0.023429276700314194
rBytesMin,0.023096065687383954
rRstRate,0.020922039137700802
sPayloadAvg,0.020460658347127323
sBytesMax,0.01952773709344847
rWin,0.018191992410532848
sPayloadMax,0.014814264930039794
proto_IPV4-TCP,0.013186323183955875
sttl,0.009240045587996314
sBytesMin,0.006724477755760322
sPshRate,0.006617168888445228
rPshRate,0.00652212047479745
sAckRate,0.005028947059512154
rFinRate,0.0040395875457848165
sFinRate,0.003976642437999711
proto_ARP,0.003973258041679683
proto_IPV4-ModbusTCP,0.0036034060034632496
rSynRate,0.0031026260453850163
rAckRate,0.001799800409918333
sPayloadMin,0.00019153999712881272
proto_IPV4-ICMP,0.0001820716009713165
proto_IPV6-OTHER,2.5013483404230452e-05
proto_IPV4-UDP,2.1434614815419914e-05
sRstRate,3.525683468304639e-07
