feature,importance
raw_end_time,0.10681633631398142
raw_start_time,0.09983999117839505
event_time_seconds,0.06635672824503364
event_end_seconds,0.06371193839694543
end_seconds_of_day,0.06347200586538813
start_seconds_of_day,0.06037550527613025
rBytesAvg,0.03592555857249929
rPayloadMax,0.03327023653640828
rPayloadAvg,0.031293030248897125
rBytesMax,0.02925983337702542
rBytesTotal,0.02923854582039011
sSynRate,0.026684193368116185
sBytesTotal,0.024719346516160284
rPayloadMin,0.02351067984051802
rBytesMin,0.022280100681212892
sBytesMax,0.020565322568639455
sBytesAvg,0.018087433404109076
sPayloadAvg,0.017754503061011586
rRstRate,0.017373854764571983
sPackets,0.016591323967145067
sPayloadMax,0.015987204129994163
sWin,0.015834472859977734
rPackets,0.015543430874126785
rttl,0.014393779974365443
sInterPacket,0.012170900951743575
rLoad,0.011542737446613584
proto_IPV4-TCP,0.010787653174729479
rInterPacket,0.00974457846214709
duration,0.009632680093039525
sLoad,0.009451562467963224
endOffset,0.0077636555158380575
rWin,0.007264686530992404
startOffset,0.007071675960463891
sAckRate,0.006820351904037755
sPshRate,0.006166951721364851
sttl,0.006159179334219211
proto_ARP,0.005808696931765213
rPshRate,0.004717827903296044
sBytesMin,0.004415088858595572
proto_IPV4-ModbusTCP,0.004081878103332135
sFinRate,0.002549463313736945
rFinRate,0.0020395985303363717
rSynRate,0.0016874526957695879
rAckRate,0.001145645143211609
sPayloadMin,5.139593947183779e-05
proto_IPV4-ICMP,2.67530393984045e-05
proto_IPV6-OTHER,1.1027444404025838e-05
proto_IPV4-UDP,2.7432694302526114e-06
sRstRate,4.5942305645030737e-07
