label,class_name,precision,recall,f1_score,support
0,Normal,0.9867033264220679,0.9896026400253153,0.9881508565237999,66363
1,AITM_T0830,0.9615384615384616,0.8771929824561403,0.9174311926605505,57
2,Change_Operating_Mode_T0858,0.9803921568627451,1.0,0.9900990099009901,50
3,Data_from_Local_System_T0893,1.0,0.6666666666666666,0.8,3
4,Detect_Operating_Mode_T0868,0.5418060200668896,0.48128342245989303,0.5097545626179988,1683
5,File_and_Directory_Discovery_T1083,1.0,1.0,1.0,3
6,Modify_Alarm_Settings_T0838,1.0,0.5,0.6666666666666666,4
7,Modify_Controller_Tasking_T0821,0.8,1.0,0.8888888888888888,4
8,Modify_Parameters_T0836,0.75,0.75,0.75,4
9,Network_Enumeration_T0840,1.0,1.0,1.0,1242
10,Remote_Services_T0886,1.0,0.6666666666666666,0.8,3
11,Remote_System_Discovery_T0846,1.0,1.0,1.0,977
