feature,importance
sBytesAvg,0.7981482
sWin,0.07622235
rBytesTotal,0.03573149
rttl,0.020824049
rBytesMax,0.019009622
sBytesMax,0.012415533
sttl,0.0070226067
proto_IPV4-ICMP,0.0067631663
sBytesTotal,0.0049096304
rBytesMin,0.002439335
duration,0.0023546973
sPackets,0.0022744264
rLoad,0.0020339622
rPackets,0.0016876629
rWin,0.0016664768
rInterPacket,0.0010277368
sLoad,0.0009036774
sInterPacket,0.00084917736
sPshRate,0.0006974614
rBytesAvg,0.0006261556
rPayloadMax,0.00047237737
sAckRate,0.0004534029
rPshRate,0.0003045783
sFinRate,0.00028498852
sSynRate,0.0002747673
sPayloadAvg,0.00016837218
proto_IPV4-ModbusTCP,0.00014445104
rFinRate,0.0001398137
rPayloadMin,7.8042845e-05
proto_IPV4-TCP,7.179314e-05
sRstRate,0.0
rRstRate,0.0
rAckRate,0.0
rSynRate,0.0
sPayloadMax,0.0
sPayloadMin,0.0
proto_ARP,0.0
sBytesMin,0.0
rPayloadAvg,0.0
proto_IPV4-UDP,0.0
proto_IPV6-OTHER,0.0
