feature,importance
sBytesAvg,0.6309571
raw_end_time,0.26685366
sPackets,0.031089278
rttl,0.011796405
rBytesMin,0.010682536
rPackets,0.009152789
sBytesTotal,0.008285028
sBytesMax,0.007548367
sPayloadAvg,0.0043942304
rPayloadMax,0.0036824634
sWin,0.0028998314
rBytesTotal,0.0020740647
end_seconds_of_day,0.0012685077
event_time_seconds,0.00095931604
rBytesAvg,0.00094220025
rBytesMax,0.00079070835
rSynRate,0.0007606059
raw_start_time,0.00069746794
endOffset,0.00067764905
rInterPacket,0.00055202487
sPayloadMax,0.000526443
startOffset,0.0005212385
event_end_seconds,0.00047663352
proto_IPV4-ModbusTCP,0.0003559396
rWin,0.00031208165
sPshRate,0.0002560904
rFinRate,0.00021865497
rLoad,0.00019713992
duration,0.00018147749
sLoad,0.00016251512
sFinRate,0.00013445716
sSynRate,0.00013008948
rPshRate,0.00012928483
sInterPacket,0.00012530624
proto_IPV4-TCP,0.00010952711
sAckRate,9.886049e-05
proto_ARP,0.0
proto_IPV4-ICMP,0.0
proto_IPV4-UDP,0.0
start_seconds_of_day,0.0
sPayloadMin,0.0
sBytesMin,0.0
sttl,0.0
rPayloadMin,0.0
rRstRate,0.0
sRstRate,0.0
rAckRate,0.0
rPayloadAvg,0.0
proto_IPV6-OTHER,0.0
