feature,importance
sSynRate,0.20582478
sPayloadMax,0.18938719
sPayloadMin,0.1785036
rBytesMax,0.05776264
sBytesAvg,0.047508627
sWin,0.04729892
rPackets,0.03763792
rWin,0.034356322
sttl,0.030777799
rBytesMin,0.029670095
rttl,0.02846541
rBytesTotal,0.025080085
rSynRate,0.021859413
sPackets,0.017891552
sFinRate,0.013229192
sPayloadAvg,0.0072380174
rFinRate,0.0070579187
rBytesAvg,0.005890032
sBytesTotal,0.00344405
duration,0.0021881682
rLoad,0.0018920519
rInterPacket,0.001656022
sPshRate,0.0015792154
sBytesMax,0.0012818128
sLoad,0.0011504402
sInterPacket,0.0008809247
rPayloadMax,0.00013834091
rPshRate,9.166865e-05
rPayloadAvg,7.270955e-05
sAckRate,5.9196787e-05
proto_IPV4-ICMP,4.8665723e-05
proto_IPV4-ModbusTCP,2.3565657e-05
rRstRate,1.8985022e-05
proto_IPV4-TCP,1.874771e-05
sBytesMin,1.4154488e-05
rAckRate,1.759253e-06
rPayloadMin,0.0
sRstRate,0.0
proto_ARP,0.0
proto_IPV4-UDP,0.0
proto_IPV6-OTHER,0.0
