label,class_name,precision,recall,f1_score,support
0,Normal,0.9930685996984048,0.5656314512604915,0.7207426892724794,66363
1,AITM_T0830,0.0429769392033543,0.7192982456140351,0.08110781404549951,57
2,Change_Operating_Mode_T0858,0.6811594202898551,0.94,0.7899159663865546,50
3,Data_from_Local_System_T0893,1.0,0.6666666666666666,0.8,3
4,Detect_Operating_Mode_T0868,0.04902662711806621,0.8544266191325015,0.09273231443864062,1683
5,File_and_Directory_Discovery_T1083,1.0,1.0,1.0,3
6,Modify_Alarm_Settings_T0838,0.0,0.0,0.0,4
7,Modify_Controller_Tasking_T0821,0.0,0.0,0.0,4
8,Modify_Parameters_T0836,0.4,0.5,0.4444444444444444,4
9,Network_Enumeration_T0840,0.997588424437299,0.999194847020934,0.998390989541432,1242
10,Remote_Services_T0886,1.0,0.6666666666666666,0.8,3
11,Remote_System_Discovery_T0846,0.9979570990806946,1.0,0.9989775051124744,977
