feature,importance
sSynRate,0.18115848
sPayloadMax,0.16169314
rBytesMax,0.108714856
event_end_seconds,0.07695585
sWin,0.073341444
rPackets,0.07302868
sBytesAvg,0.05069639
raw_end_time,0.044199258
sttl,0.043527946
sAckRate,0.03473415
rBytesTotal,0.02781835
event_time_seconds,0.019087352
raw_start_time,0.017680379
rBytesMin,0.015795302
rSynRate,0.014694528
sPackets,0.014500963
rBytesAvg,0.01290458
rPshRate,0.0061866026
rWin,0.005288635
rFinRate,0.0045386828
rttl,0.0025239151
endOffset,0.0021831754
sBytesMax,0.0018344611
sBytesTotal,0.0016686462
rInterPacket,0.0015475295
duration,0.0010764139
sFinRate,0.000775942
rLoad,0.0007017832
startOffset,0.00051277364
proto_IPV4-ModbusTCP,0.0001667915
rPayloadMax,0.00016467279
sLoad,0.00015172067
sPayloadMin,5.382714e-05
proto_IPV4-TCP,3.166527e-05
sInterPacket,2.39352e-05
sPayloadAvg,1.8078688e-05
end_seconds_of_day,9.620123e-06
sBytesMin,6.5149206e-06
sPshRate,1.7415921e-06
rPayloadAvg,1.1957205e-06
rAckRate,0.0
rPayloadMin,0.0
start_seconds_of_day,0.0
proto_ARP,0.0
proto_IPV4-ICMP,0.0
rRstRate,0.0
sRstRate,0.0
proto_IPV4-UDP,0.0
proto_IPV6-OTHER,0.0
