label,class_name,precision,recall,f1_score,support
0,Normal,0.9998454022633109,0.9745490710184892,0.9870351858493518,66363
1,AITM_T0830,0.7183098591549296,0.8947368421052632,0.796875,57
2,Change_Operating_Mode_T0858,0.9615384615384616,1.0,0.9803921568627451,50
3,Data_from_Local_System_T0893,1.0,0.6666666666666666,0.8,3
4,Detect_Operating_Mode_T0868,0.5029940119760479,0.9982174688057041,0.6689229544097153,1683
5,File_and_Directory_Discovery_T1083,0.6,1.0,0.75,3
6,Modify_Alarm_Settings_T0838,1.0,1.0,1.0,4
7,Modify_Controller_Tasking_T0821,0.8,1.0,0.8888888888888888,4
8,Modify_Parameters_T0836,0.6666666666666666,1.0,0.8,4
9,Network_Enumeration_T0840,0.9983922829581994,1.0,0.999195494770716,1242
10,Remote_Services_T0886,1.0,0.6666666666666666,0.8,3
11,Remote_System_Discovery_T0846,0.9989775051124744,1.0,0.9994884910485934,977
