benchmark,model,task,n_features_reported,accuracy,precision,recall,f1_score,roc_auc,false_positive_rate,weighted_f1,training_time_seconds
with_time,Random Forest,binary,49,97.67%,81.55%,76.58%,78.99%,99.50%,1.05%,,50.27
with_time,Random Forest,multiclass,49,97.76%,91.84%,82.76%,85.92%,99.99%,,97.70%,58.96
with_time,XGBoost,binary,49,97.59%,70.52%,99.48%,82.53%,99.54%,2.53%,,8.57
with_time,XGBoost,multiclass,49,97.58%,85.39%,93.34%,87.26%,99.99%,,97.96%,72.54
with_time,MLP,binary,49,97.07%,76.65%,70.22%,73.30%,98.81%,1.30%,,167.89
with_time,MLP,multiclass,49,97.17%,48.50%,52.02%,47.31%,99.97%,,97.60%,72.35
no_time,Random Forest,binary,41,92.40%,39.53%,61.76%,48.21%,83.61%,5.74%,,48.08
no_time,Random Forest,multiclass,41,82.71%,61.09%,59.29%,58.26%,99.02%,,88.37%,59.26
no_time,XGBoost,binary,41,89.54%,31.17%,68.41%,42.83%,89.99%,9.17%,,5.34
no_time,XGBoost,multiclass,41,58.66%,59.68%,65.93%,56.05%,97.63%,,71.39%,66.93
no_time,MLP,binary,41,97.13%,91.85%,54.79%,68.64%,88.36%,0.30%,,70.23
no_time,MLP,multiclass,41,97.17%,35.77%,38.80%,34.14%,99.85%,,96.07%,80.56
