accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,balanced_accuracy,pr_auc,benchmark,benchmark_display,model,model_display,task,task_display,seed,expected_features,n_features,objective_metric,objective_score,training_time_seconds,total_runtime_seconds,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc
0.976247638,0.707278481,0.998263027,0.827948137,0.025089282,0.994941279,0.986586873,0.923610465,full_features,Full-features,random_forest,Random Forest,binary,Binary,42,49,49,f1_score,0.827948137,38.83787966,38.83787966,,,,,,,,,
0.975224809,0.698851775,0.996774194,0.821640417,0.026083812,0.994458178,0.985345191,0.91711851,full_features,Full-features,random_forest,Random Forest,binary,Binary,7,49,49,f1_score,0.821640417,38.35318065,38.35318065,,,,,,,,,
0.975949313,0.704892162,0.99751861,0.826055687,0.025360517,0.995056066,0.986079047,0.925843899,full_features,Full-features,random_forest,Random Forest,binary,Binary,21,49,49,f1_score,0.826055687,38.50800562,38.50800562,,,,,,,,,
0.976077167,0.705861706,0.998014888,0.826891447,0.025255037,0.99511471,0.986379926,0.926767714,full_features,Full-features,random_forest,Random Forest,binary,Binary,100,49,49,f1_score,0.826891447,38.26137638,38.26137638,,,,,,,,,
0.976062961,0.705665673,0.998263027,0.826842051,0.025285174,0.995257316,0.986488927,0.928900678,full_features,Full-features,random_forest,Random Forest,binary,Binary,2026,49,49,f1_score,0.826842051,38.3965044,38.3965044,,,,,,,,,
0.936470956,0.459043736,0.614640199,0.525567579,0.043985353,0.886948571,0.785327423,0.668376927,time_ablated,Time-ablated,random_forest,Random Forest,binary,Binary,42,41,41,f1_score,0.525567579,40.83176565,40.83176565,,,,,,,,,
0.933061526,0.438932665,0.608188586,0.509881423,0.047210042,0.88343308,0.780489272,0.660475199,time_ablated,Time-ablated,random_forest,Random Forest,binary,Binary,7,41,41,f1_score,0.509881423,42.45794034,42.45794034,,,,,,,,,
0.934411092,0.447654717,0.622828784,0.520908997,0.046667571,0.887321308,0.788080607,0.6731701,time_ablated,Time-ablated,random_forest,Random Forest,binary,Binary,21,41,41,f1_score,0.520908997,42.08587694,42.08587694,,,,,,,,,
0.933913883,0.445188579,0.626799007,0.520610058,0.047436071,0.88343787,0.789681468,0.675155979,time_ablated,Time-ablated,random_forest,Random Forest,binary,Binary,100,41,41,f1_score,0.520610058,43.23049045,43.23049045,,,,,,,,,
0.933033114,0.44045961,0.627791563,0.51770002,0.048430601,0.889250896,0.789680481,0.678099149,time_ablated,Time-ablated,random_forest,Random Forest,binary,Binary,2026,41,41,f1_score,0.51770002,40.97763371,40.97763371,,,,,,,,,
0.974841248,0.698053656,0.987841191,0.818041714,0.025948194,0.994618324,0.980946499,0.896787719,full_features,Full-features,xgboost,XGBoost,binary,Binary,42,49,49,f1_score,0.818041714,9.253264427,9.253264427,,,,,,,,,
0.973846831,0.689984378,0.986352357,0.811970177,0.026912587,0.994057559,0.979719885,0.886334397,full_features,Full-features,xgboost,XGBoost,binary,Binary,7,49,49,f1_score,0.811970177,9.181453228,9.181453228,,,,,,,,,
0.974741807,0.696578212,0.990074442,0.817790531,0.026189292,0.99468431,0.981942575,0.897654602,full_features,Full-features,xgboost,XGBoost,binary,Binary,21,49,49,f1_score,0.817790531,9.141836643,9.141836643,,,,,,,,,
0.974926484,0.697885724,0.991066998,0.819030042,0.026053674,0.994599612,0.982506662,0.898188756,full_features,Full-features,xgboost,XGBoost,binary,Binary,100,49,49,f1_score,0.819030042,9.628345251,9.628345251,,,,,,,,,
0.974898072,0.698613305,0.987593052,0.818340701,0.025872851,0.994659017,0.980860101,0.897000134,full_features,Full-features,xgboost,XGBoost,binary,Binary,2026,49,49,f1_score,0.818340701,9.166703701,9.166703701,,,,,,,,,
0.923245209,0.396314756,0.651116625,0.492723688,0.060229345,0.899746467,0.79544364,0.669364693,time_ablated,Time-ablated,xgboost,XGBoost,binary,Binary,42,41,41,f1_score,0.492723688,7.074902773,7.074902773,,,,,,,,,
0.911610529,0.353515103,0.656327543,0.4595205,0.072887,0.896927839,0.791720272,0.661586879,time_ablated,Time-ablated,xgboost,XGBoost,binary,Binary,7,41,41,f1_score,0.4595205,7.487061739,7.487061739,,,,,,,,,
0.901439064,0.32756167,0.685359801,0.443267533,0.085439175,0.899993685,0.799960313,0.680856747,time_ablated,Time-ablated,xgboost,XGBoost,binary,Binary,21,41,41,f1_score,0.443267533,7.282855511,7.282855511,,,,,,,,,
0.9039109,0.33478366,0.687344913,0.450260078,0.082937782,0.901416061,0.802203566,0.684815749,time_ablated,Time-ablated,xgboost,XGBoost,binary,Binary,100,41,41,f1_score,0.450260078,7.500028849,7.500028849,,,,,,,,,
0.909749549,0.351223261,0.680397022,0.463293064,0.07632265,0.903581752,0.802037186,0.681892201,time_ablated,Time-ablated,xgboost,XGBoost,binary,Binary,2026,41,41,f1_score,0.463293064,7.137839556,7.137839556,,,,,,,,,
0.977909735,0.834008097,0.76674938,0.79896574,0.009267212,0.994779637,0.878741084,0.925279931,full_features,Full-features,mlp,MLP,binary,Binary,42,49,49,f1_score,0.79896574,42.75513124,42.75513124,,,,,,,,,
0.976815877,0.839660057,0.735483871,0.784126984,0.008528849,0.9942298,0.863477511,0.917027936,full_features,Full-features,mlp,MLP,binary,Binary,7,49,49,f1_score,0.784126984,35.17363429,35.17363429,,,,,,,,,
0.977938147,0.87473525,0.717369727,0.788275392,0.006238416,0.994705911,0.855565656,0.924451721,full_features,Full-features,mlp,MLP,binary,Binary,21,49,49,f1_score,0.788275392,54.91081834,54.91081834,,,,,,,,,
0.977398321,0.849928264,0.734987593,0.788290086,0.007880897,0.994659148,0.863553348,0.923233448,full_features,Full-features,mlp,MLP,binary,Binary,100,49,49,f1_score,0.788290086,65.88152981,65.88152981,,,,,,,,,
0.978932564,0.827462073,0.798511166,0.81272888,0.010111056,0.995009712,0.894200055,0.927310994,full_features,Full-features,mlp,MLP,binary,Binary,2026,49,49,f1_score,0.81272888,41.63726616,41.63726616,,,,,,,,,
0.974429276,0.992491166,0.557568238,0.714013346,0.000256167,0.89665033,0.778656036,0.67306735,time_ablated,Time-ablated,mlp,MLP,binary,Binary,42,41,41,f1_score,0.714013346,28.35757208,28.35757208,,,,,,,,,
