benchmark,benchmark_display,model,model_display,task,task_display,n_runs,n_features,seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,training_time_seconds_mean,training_time_seconds_std,training_time_seconds_min,training_time_seconds_max,total_runtime_seconds_mean,total_runtime_seconds_std,total_runtime_seconds_min,total_runtime_seconds_max,objective_score_mean,objective_score_std,objective_score_min,objective_score_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,micro_roc_auc_mean,micro_roc_auc_std,micro_roc_auc_min,micro_roc_auc_max,macro_roc_auc_mean,macro_roc_auc_std,macro_roc_auc_min,macro_roc_auc_max,weighted_roc_auc_mean,weighted_roc_auc_std,weighted_roc_auc_min,weighted_roc_auc_max,accuracy_drop_full_to_ablated_mean,precision_drop_full_to_ablated_mean,recall_drop_full_to_ablated_mean,f1_score_drop_full_to_ablated_mean,balanced_accuracy_drop_full_to_ablated_mean,roc_auc_drop_full_to_ablated_mean,pr_auc_drop_full_to_ablated_mean,macro_precision_drop_full_to_ablated_mean,macro_recall_drop_full_to_ablated_mean,macro_f1_drop_full_to_ablated_mean,weighted_f1_drop_full_to_ablated_mean,micro_roc_auc_drop_full_to_ablated_mean,false_positive_rate_drop_full_to_ablated_mean
full_feature,Full-features,mlp,MLP,binary,Binary,5,49,"42, 7, 21, 100, 2026",0.977798929,0.000781612,0.976815877,0.978932564,0.845158748,0.018474731,0.827462073,0.87473525,0.750620347,0.032143335,0.717369727,0.798511166,0.794477417,0.011588147,0.784126984,0.81272888,0.871107531,0.015397797,0.855565656,0.894200055,0.008405286,0.001469536,0.006238416,0.010111056,0.994676841,0.00028389,0.9942298,0.995009712,0.923460806,0.003890648,0.917027936,0.927310994,48.07167597,12.24736215,35.17363429,65.88152981,48.07167597,12.24736215,35.17363429,65.88152981,0.794477417,0.011588147,0.784126984,0.81272888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_feature,Full-features,mlp,MLP,multiclass,Multiclass,5,49,"42, 7, 21, 100, 2026",0.977727899,0.000634547,0.977000554,0.97842115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14980249,6.184216033,18.82024622,33.67107487,26.14980249,6.184216033,18.82024622,33.67107487,0.359251919,0.012736029,0.343737147,0.375859392,0.423996034,0.008668117,0.415121355,0.437163252,0.342241218,0.011286274,0.329167194,0.3577699,0.359251919,0.012736029,0.343737147,0.375859392,0.976912682,0.000949589,0.975330684,0.977831346,0.999891934,7.07E-06,0.999880539,0.99989823,0.99675927,0.000958606,0.995931338,0.998052316,0.994812349,0.000198958,0.994576939,0.994976332,,,,,,,,,,,,,
full_feature,Full-features,random_forest,Random Forest,binary,Binary,5,49,"42, 7, 21, 100, 2026",0.975912378,0.000398856,0.975224809,0.976247638,0.704509959,0.00327829,0.698851775,0.707278481,0.997766749,0.000632633,0.996774194,0.998263027,0.825875548,0.002461229,0.821640417,0.827948137,0.986175993,0.000501988,0.985345191,0.986586873,0.025414764,0.000386915,0.025089282,0.026083812,0.99496551,0.000305608,0.994458178,0.995257316,0.924448253,0.00451605,0.91711851,0.928900678,38.47138934,0.223238884,38.26137638,38.83787966,38.47138934,0.223238884,38.26137638,38.83787966,0.825875548,0.002461229,0.821640417,0.827948137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_feature,Full-features,random_forest,Random Forest,multiclass,Multiclass,5,49,"42, 7, 21, 100, 2026",0.977230691,0.000348321,0.976645405,0.977455145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.510798,20.43555523,566.9486263,617.5746865,586.510798,20.43555523,566.9486263,617.5746865,0.893400904,0.015360435,0.879898223,0.912221026,0.88950592,0.013209764,0.877193703,0.909830536,0.915485377,0.03036394,0.890287365,0.952642956,0.893400904,0.015360435,0.879898223,0.912221026,0.979450888,0.000206934,0.979152231,0.979646924,0.999884917,1.86E-05,0.999861672,0.999903913,0.983210126,0.011484011,0.970969404,0.998722765,0.995202074,0.000274808,0.994721802,0.995391256,,,,,,,,,,,,,
full_feature,Full-features,xgboost,XGBoost,binary,Binary,5,49,"42, 7, 21, 100, 2026",0.974650889,0.00045499,0.973846831,0.974926484,0.696223055,0.003566374,0.689984378,0.698613305,0.988585608,0.001930068,0.986352357,0.991066998,0.817034633,0.002868875,0.811970177,0.819030042,0.981195144,0.001075779,0.979719885,0.982506662,0.02619532,0.000418219,0.025872851,0.026912587,0.994523764,0.000262731,0.994057559,0.99468431,0.895193122,0.004982915,0.886334397,0.898188756,9.27432065,0.202197033,9.141836643,9.628345251,9.27432065,0.202197033,9.141836643,9.628345251,0.817034633,0.002868875,0.811970177,0.819030042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_feature,Full-features,xgboost,XGBoost,multiclass,Multiclass,5,49,"42, 7, 21, 100, 2026",0.975829983,0.000438732,0.975125368,0.976162403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.1609,1.22619257,142.6897607,145.7933061,144.1609,1.22619257,142.6897607,145.7933061,0.87744583,0.029320174,0.840225994,0.90906955,0.853345027,0.022233513,0.826760744,0.879833031,0.938884617,0.032055745,0.889333825,0.967288554,0.87744583,0.029320174,0.840225994,0.90906955,0.979554777,0.000329635,0.979033278,0.979792701,0.999892877,3.13E-06,0.999887357,0.999895012,0.9987123,3.96E-05,0.998663564,0.998753846,0.995393773,0.000112904,0.995198092,0.99549074,,,,,,,,,,,,,
time_ablated,Time-ablated,mlp,MLP,binary,Binary,5,41,"42, 7, 21, 100, 2026",0.974579859,0.00053093,0.973718978,0.975025926,0.992800558,0.001084377,0.991774892,0.994555354,0.560049628,0.009874247,0.543920596,0.568486352,0.716079271,0.0078754,0.703240295,0.722712934,0.779901251,0.004918766,0.771869886,0.784100024,0.000247126,4.07E-05,0.000180824,0.000286304,0.896162989,0.003968788,0.890270813,0.90138225,0.677594489,0.010756323,0.661055315,0.687428791,31.09820056,3.946193511,27.40590668,37.29697633,31.09820056,3.946193511,27.40590668,37.29697633,0.716079271,0.0078754,0.703240295,0.722712934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00321907,-0.14764181,0.19057072,0.078398146,0.09120628,0.098513853,0.245866317,,,,,,0.00815816
time_ablated,Time-ablated,mlp,MLP,multiclass,Multiclass,5,41,"42, 7, 21, 100, 2026",0.974372452,7.03E-05,0.974258804,0.974429276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.78133826,7.277639323,19.48639941,38.05614352,26.78133826,7.277639323,19.48639941,38.05614352,0.354054493,0.025587463,0.31688605,0.374260172,0.410698273,0.031170336,0.371260762,0.447723926,0.352096419,0.027793761,0.311117197,0.379638148,0.354054493,0.025587463,0.31688605,0.374260172,0.962176175,8.09E-05,0.962047867,0.962257665,0.998895072,2.94E-05,0.998854282,0.998921765,0.971358326,0.000937156,0.970180238,0.972387692,0.896275626,0.002783827,0.892357889,0.899110361,0.003355447,,,,,,,0.013297761,-0.009855201,0.005197426,0.014736507,0.000996861,
time_ablated,Time-ablated,random_forest,Random Forest,binary,Binary,5,41,"42, 7, 21, 100, 2026",0.934178114,0.001408813,0.933033114,0.936470956,0.446255862,0.007966357,0.438932665,0.459043736,0.620049628,0.008413704,0.608188586,0.627791563,0.518933615,0.005791934,0.509881423,0.525567579,0.78665185,0.003876984,0.780489272,0.789681468,0.046745928,0.001670085,0.043985353,0.048430601,0.886078345,0.002565973,0.88343308,0.889250896,0.671055471,0.006892314,0.660475199,0.678099149,41.91674142,1.013229404,40.83176565,43.23049045,41.91674142,1.013229404,40.83176565,43.23049045,0.518933615,0.005791934,0.509881423,0.525567579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041734263,0.258254098,0.377717122,0.306941933,0.199524143,0.108887165,0.253392782,,,,,,-0.021331163
time_ablated,Time-ablated,random_forest,Random Forest,multiclass,Multiclass,5,41,"42, 7, 21, 100, 2026",0.826337846,0.002457766,0.823718267,0.829841035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.6406963,10.21743809,285.8857229,305.9770882,294.6406963,10.21743809,285.8857229,305.9770882,0.5195428,0.039332749,0.460194173,0.564065334,0.520017837,0.051887738,0.433850822,0.560019388,0.558522224,0.033532711,0.524386046,0.609537965,0.5195428,0.039332749,0.460194173,0.564065334,0.883201346,0.001454348,0.88166875,0.885232374,0.991529775,0.000113141,0.991371521,0.991661857,0.919633199,0.018652232,0.8999659,0.94010291,0.849339606,0.001655603,0.84704077,0.851224897,0.150892844,,,,,,,0.369488083,0.356963153,0.373858104,0.096249542,0.008355142,
