Benchmark,Model,Task,Features,Runs,Accuracy,Precision,Recall,F1-score,Balanced accuracy,PR-AUC,FPR,Macro precision,Macro recall,Macro F1,Weighted F1,Micro ROC-AUC
Full-feature,MLP,Binary,49,5,97.78 ± 0.08%,84.52 ± 1.85%,75.06 ± 3.21%,79.45 ± 1.16%,87.11 ± 1.54%,92.35 ± 0.39%,0.84 ± 0.15%,,,,,
Time-ablated,MLP,Binary,41,5,97.46 ± 0.05%,99.28 ± 0.11%,56.00 ± 0.99%,71.61 ± 0.79%,77.99 ± 0.49%,67.76 ± 1.08%,0.02 ± 0.00%,,,,,
Full-feature,Random Forest,Binary,49,5,97.59 ± 0.04%,70.45 ± 0.33%,99.78 ± 0.06%,82.59 ± 0.25%,98.62 ± 0.05%,92.44 ± 0.45%,2.54 ± 0.04%,,,,,
Time-ablated,Random Forest,Binary,41,5,93.42 ± 0.14%,44.63 ± 0.80%,62.00 ± 0.84%,51.89 ± 0.58%,78.67 ± 0.39%,67.11 ± 0.69%,4.67 ± 0.17%,,,,,
Full-feature,XGBoost,Binary,49,5,97.47 ± 0.05%,69.62 ± 0.36%,98.86 ± 0.19%,81.70 ± 0.29%,98.12 ± 0.11%,89.52 ± 0.50%,2.62 ± 0.04%,,,,,
Time-ablated,XGBoost,Binary,41,5,91.00 ± 0.85%,35.27 ± 2.67%,67.21 ± 1.71%,46.18 ± 1.90%,79.83 ± 0.46%,67.57 ± 0.98%,7.56 ± 0.99%,,,,,
Full-feature,MLP,Multiclass,49,5,97.77 ± 0.06%,,,,,,,42.40 ± 0.87%,34.22 ± 1.13%,35.93 ± 1.27%,97.69 ± 0.09%,99.99 ± 0.00%
Time-ablated,MLP,Multiclass,41,5,97.44 ± 0.01%,,,,,,,41.07 ± 3.12%,35.21 ± 2.78%,35.41 ± 2.56%,96.22 ± 0.01%,99.89 ± 0.00%
Full-feature,Random Forest,Multiclass,49,5,97.72 ± 0.03%,,,,,,,88.95 ± 1.32%,91.55 ± 3.04%,89.34 ± 1.54%,97.95 ± 0.02%,99.99 ± 0.00%
Time-ablated,Random Forest,Multiclass,41,5,82.63 ± 0.25%,,,,,,,52.00 ± 5.19%,55.85 ± 3.35%,51.95 ± 3.93%,88.32 ± 0.15%,99.15 ± 0.01%
Full-feature,XGBoost,Multiclass,49,5,97.58 ± 0.04%,,,,,,,85.33 ± 2.22%,93.89 ± 3.21%,87.74 ± 2.93%,97.96 ± 0.03%,99.99 ± 0.00%
Time-ablated,XGBoost,Multiclass,41,5,61.12 ± 0.31%,,,,,,,53.95 ± 6.03%,62.22 ± 3.99%,52.46 ± 4.98%,73.41 ± 0.25%,97.85 ± 0.02%
