accuracy,balanced_accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,pr_auc,confusion_matrix,confusion_matrix_labels,model,model_label,task,seed,benchmark,benchmark_display,n_features,threshold,threshold_percentile,threshold_selected_on,trained_on,training_time_seconds,runtime_seconds,epochs_trained
0.8796613299617859,0.7311914386656531,0.2528108649671602,0.5635235732009926,0.3490355798048106,0.10114069586968642,0.697519143245872,0.19048723938205508,"[[59651, 6712], [1759, 2271]]","['Normal (0)', 'Attack (1)']",isolation_forest,IF,binary,42,time_ablated,Time-ablated,41,0.0028881406242845737,90,"validation_split (stratified, from train)",normal_samples_only,0.9003713130950928,6.0003862380981445,
0.8797891835835949,0.7313757826951391,0.2531194295900178,0.563771712158809,0.34937721051822235,0.10102014676853066,0.6950195965202142,0.17271957640629512,"[[59659, 6704], [1758, 2272]]","['Normal (0)', 'Attack (1)']",isolation_forest,IF,binary,7,time_ablated,Time-ablated,41,-0.0026624920185398097,90,"validation_split (stratified, from train)",normal_samples_only,0.9174091815948486,6.880432844161987,
0.8799170372054039,0.7313270564044533,0.25331846068042385,0.5635235732009926,0.3495190457868411,0.10086946039208596,0.7043733112516097,0.2327751452863835,"[[59669, 6694], [1759, 2271]]","['Normal (0)', 'Attack (1)']",isolation_forest,IF,binary,21,time_ablated,Time-ablated,41,0.00991833472789487,90,"validation_split (stratified, from train)",normal_samples_only,1.1591293811798096,6.416542291641235,
0.8982427229980253,0.7355691751610971,0.29336499142593325,0.5518610421836229,0.3830850055981397,0.0807226918614288,0.7063746712428961,0.23713493770927502,"[[61006, 5357], [1806, 2224]]","['Normal (0)', 'Attack (1)']",isolation_forest,IF,binary,100,time_ablated,Time-ablated,41,0.1407472210009626,92,"validation_split (stratified, from train)",normal_samples_only,1.131140947341919,6.318782806396484,
0.8798175954995525,0.7313908513327836,0.25317584131936705,0.563771712158809,0.34943094432482313,0.10099000949324172,0.7030387440847652,0.20093709746653346,"[[59661, 6702], [1758, 2272]]","['Normal (0)', 'Attack (1)']",isolation_forest,IF,binary,2026,time_ablated,Time-ablated,41,0.00809843593242765,90,"validation_split (stratified, from train)",normal_samples_only,1.1028101444244385,6.2370195388793945,
0.8992939638884548,0.7403219805170367,0.29819237366407175,0.5607940446650124,0.3893530881212852,0.08015008363093892,0.7170508141009095,0.17159827184684687,"[[61044, 5319], [1770, 2260]]","['Normal (0)', 'Attack (1)']",stacked_autoencoder,SAE,binary,42,time_ablated,Time-ablated,41,222.32601745605558,92,"validation_split (stratified, from train)",normal_samples_only,20.794252157211304,59.90572810173035,19.0
0.8991803162246246,0.7418931982076622,0.29862114248194355,0.5642679900744417,0.3905538857878918,0.08048159365911728,0.7178491078973908,0.19059972035338202,"[[61022, 5341], [1756, 2274]]","['Normal (0)', 'Attack (1)']",stacked_autoencoder,SAE,binary,7,time_ablated,Time-ablated,41,50.990674896240364,92,"validation_split (stratified, from train)",normal_samples_only,36.90811800956726,51.39751195907593,37.0
0.8993649936783487,0.7423407498326091,0.2992902208201893,0.5650124069478908,0.391304347826087,0.08033090728267257,0.7268734532445413,0.21803747558788844,"[[61032, 5331], [1753, 2277]]","['Normal (0)', 'Attack (1)']",stacked_autoencoder,SAE,binary,21,time_ablated,Time-ablated,41,29.278838882446763,92,"validation_split (stratified, from train)",normal_samples_only,59.897687911987305,74.41998243331909,59.0
0.8998622022076058,0.7422548455111295,0.30051539579754194,0.5642679900744417,0.3921703888936794,0.0797582990521827,0.7234746939804606,0.17676416841755066,"[[61070, 5293], [1756, 2274]]","['Normal (0)', 'Attack (1)']",stacked_autoencoder,SAE,binary,100,time_ablated,Time-ablated,41,23.009783935546995,92,"validation_split (stratified, from train)",normal_samples_only,74.33418250083923,89.75475025177002,59.0
0.8997485545437757,0.7423111061206376,0.3002507588755444,0.5645161290322581,0.3920048246747652,0.07989391679098293,0.7344057510745565,0.22065740827863717,"[[61061, 5302], [1755, 2275]]","['Normal (0)', 'Attack (1)']",stacked_autoencoder,SAE,binary,2026,time_ablated,Time-ablated,41,27.954446868896547,92,"validation_split (stratified, from train)",normal_samples_only,49.2411048412323,63.73472881317139,37.0
